id,regno,site,class,construction,year,place,Al_K12,As_K12,As_L1,Ba_K12,Ba_L1,Ca_K12,Cl_K12,Cr_K12,Cs_K12,Cs_L1,Cu_K12,Fe_K12,Ga_K12,Ga_L1,K_K12,Mg_K12,Mn_K12,Na_K12,Ni_K12,P_K12,Rb_K12,Rb_L1,Rh_K12,Rh_L1,S_K12,Si_K12,Sr_K12,Sr_L1,Ti_K12,Yb_L1,Zn_K12
148,BAT4000,BAT,Dutch,Wooden,1629,InsideBase,188959,54925,1,0,55253,2389892,13243,27735,0,7284,35837,278150,27924,3992,827075,53449,327518,6727,23898,104847,26474,1,31,154790,369100,3156934,8144,1,3679,27906,20309
149,BAT4000,BAT,Dutch,Wooden,1629,OutsideBase,120487,38570,1,0,39404,1607832,14251,18126,0,6056,26493,190212,21672,2715,559495,47857,222381,4385,15584,68346,19147,1,11,94741,187395,2167304,5583,1,2022,19372,16634
151,BAT4000,BAT,Dutch,Wooden,1629,Cross,144776,50636,1,0,49713,2095946,29192,24468,0,6929,32328,247782,26555,3440,743285,45465,293232,6770,21410,86979,24138,1,24,135403,267989,2859606,7655,1,3001,25214,18594
152,UNID6330,UNID,Unknown,Unknown,NA,InsideBase,107327,48422,1,0,42407,2836022,105501,27571,0,8346,35358,346920,27913,2905,283748,36930,178940,34256,22725,111850,25943,1,30,161838,80077,2265813,7754,1,4090,29453,170993
153,UNID6330,UNID,Unknown,Unknown,NA,Cross,80483,27350,1,0,22817,1780290,72478,14007,0,4056,20116,201141,15694,2337,180534,28780,103897,12617,12268,74646,14234,1,13,89785,23527,1696459,4374,1,4301,15733,11577
154,UNID6330,UNID,Unknown,Unknown,NA,OutsideSide,175238,46024,1,0,44171,2413773,246737,26142,0,8206,33938,397187,27570,4593,333849,147182,180058,22718,20270,92725,24863,1,21,122639,139877,2509851,7314,1,14344,25745,20755
155,ZT3982I,ZT,Dutch,Wooden,1712,Cross,128859,45913,1,0,31819,2655138,73051,27037,0,6646,34082,615089,26004,3501,320270,44399,83008,13175,19695,101751,24299,1,30,133954,61079,2695945,7311,1,12439,25322,18771
156,ZT3982I,ZT,Dutch,Wooden,1712,Cross,112952,44973,1,1,29268,2989810,79537,27268,1,6273,31656,477336,25626,3671,336944,47241,65441,13409,19549,112089,23456,1,16,139069,70982,2781163,7318,1,4595,26105,17407
157,ZT39821,ZT,Dutch,Wooden,1712,InsideBase,126980,49493,1,0,31622,3379911,86855,31470,0,6730,35198,540359,27326,4197,379937,54805,74589,15872,22067,128318,25768,1,26,156909,71470,3142838,7984,1,6726,29421,19021
158,GT4055,GT,Dutch,Wooden,1656,Cross,117397,51864,1,0,43027,2298877,31236,24710,0,6989,33034,237376,26395,3636,865173,56013,298156,7080,22339,141305,24048,1,22,134997,104712,2869894,7096,1,1,25994,22681
159,GT4055,GT,Dutch,Wooden,1656,InsideBase,134526,54087,1,0,43999,2332724,38866,25659,0,6883,35256,244359,26336,3993,876829,62619,309618,9204,23730,140139,24874,1,33,152105,246277,2873881,7806,1,1,27330,23027
160,GT4055,GT,Dutch,Wooden,1656,Side,128383,55774,1,0,46514,2521547,41657,27912,0,7146,34823,252531,27911,3917,952271,61582,322523,8721,24677,156338,25751,1,26,152660,81881,3180446,7951,1,1,28596,23828
163,CM93,CM,Colonial,Composite,1830,InsideBase,160759,45946,1,0,32234,2909854,188585,28556,0,6351,30958,578304,25737,3546,77676,32877,128157,18664,20910,25571,23942,1,27,135975,26284,2813706,7563,1,18759,26160,13977
164,CM93,CM,Colonial,Composite,1830,RimOfBase,58835,20109,1,0,14708,1151314,78515,9788,0,3552,14303,229595,12747,1550,32962,11405,52278,6087,8399,11626,11088,1,5,55828,14328,1059715,2865,1,6457,10609,7442
165,CM93,CM,Colonial,Composite,1830,Cross,125784,44143,1,0,32285,2762114,189221,26327,0,6815,30209,557988,26286,2964,79519,24106,124565,12844,19510,24982,23513,1,25,129642,41284,2276720,7105,1,18237,25205,14348
166,UNID6335,UNID,Unknown,Unknown,NA,Cross,22141,7629,1,0,6529,472232,21659,3411,0,1459,5628,62177,4737,662,41403,8083,23330,2915,3112,19680,3998,1,2,29662,22841,389779,1066,1,1417,4174,3288
167,UNID6335,UNID,Unknown,Unknown,NA,Side,229930,49795,1,1,43485,2301642,222009,28446,1,7980,35626,559821,29466,4286,324834,39847,140119,23858,21832,199258,26876,1,33,132123,137205,2855174,7963,1,22639,27813,22080
168,UNID6335,UNID,Unknown,Unknown,NA,Inside,74360,16291,199,0,14762,300179,6088,8532,0,3544,12471,216578,10624,1063,82668,5107,67225,2968,7063,48666,8653,1,4,38836,109742,694451,2210,1,7830,8507,7215
169,NoNoBottle,Beer,Historical,NA,NA,Side,273496,48262,1,0,39672,1961778,29167,26176,0,8037,34695,608168,27829,3162,225235,20788,672059,35401,22479,22895,24928,1,31,128506,34654,2547388,7374,1,4544,23947,22869
170,NoNoBottle,Beer,Historical,NA,NA,Neck,241392,41821,1,0,32954,1601312,26051,21450,0,6979,29681,497876,24314,2683,194743,17360,552570,14723,18303,13961,21764,1,32,104391,24807,2231062,6308,1,3347,20050,19716
171,NoNoBottle,Beer,Historical,NA,NA,Rim,290506,48477,2,0,38082,1988591,19560,26308,0,7742,34543,612247,27623,3189,222194,21887,683382,17060,22206,16118,24720,1,35,128477,24063,2652215,7535,1,4490,23722,22596
172,GT4149,GT,Dutch,Wooden,1656,Side,120361,60499,1,0,47928,2613196,70971,26863,1,7028,33979,238641,27116,4032,975130,63482,308612,11631,25637,169420,25065,1,29,155504,57301,2955473,7797,1,1,28287,21813
