id,regno,site,class,construction,year,place,Al_K12,Ar_K12,As_K12,As_L1,Ba_K12,Ba_L1,Br_K12,Br_L1,Ca_K12,Cd_K12,Cd_L1,Cl_K12,Cr_K12,Cu_K12,Fe_K12,Ga_K12,Ga_L1,In_K12,In_L1,K_K12,Mn_K12,Ni_K12,P_K12,Pb_L1,Pb_M1,Pd_K12,Pd_L1,Rb_K12,Rb_L1,Rh_K12,Rh_L1,S_K12,Sc_K12,Si_K12,Sn_K12,Sn_L1,Sr_K12,Sr_L1,Ti_K12,V_K12,Y_K12,Y_L1,Zn_K12,Zr_K12,Zr_L1
101,LJ61,LJ,Colonial,Wooden,1921,Rim,376,1,3473,188,1618,436,2,204,150367,466,0,426,237,1563,160992,86,958,228,48,3187,8949,420,1,17275,72,38690,315,3061,428,47634,0,310,468,5443,1751,422,57454,27,2200,85,2208,3,2760,30865,0
176,GT4163,GT,Dutch,Wooden,1656,InsideBase,457,1,1455,247,3305,966,18,114,110498,312,0,19,1,3954,70729,37,959,255,590,20427,24611,874,142,5840,28,37955,215,16572,19,46309,0,77,80,6027,2042,1,78425,25,1806,282,1259,1,4327,27030,1
124,GT4163,GT,Dutch,Wooden,1656,Base,654,62,1735,202,2696,834,2,1,107504,410,0,30,2,3381,65680,55,1044,248,822,19690,24008,899,1,3790,1,36003,203,15663,359,43332,-1,41,230,4501,1342,1,74854,1,2099,229,1151,187,3850,25880,0
175,GT4149,GT,Dutch,Wooden,1656,InsideBase,404,1,1199,253,3297,1016,1,1,109876,160,0,95,1,3741,57449,99,915,21,52,24885,29933,831,55,6161,43,37256,219,18047,614,47385,0,1,227,5435,1347,288,91087,1,1315,263,963,0,5206,18417,-14
131,GT4149,GT,Dutch,Wooden,1656,SideNearBottom,490,1,1295,197,3423,991,1,100,114928,288,0,155,1,3533,58937,0,1024,339,95,24055,30192,871,151,6248,1,37581,250,17157,1,46746,0,25,283,6006,946,356,89738,1,1317,106,1042,1,5322,18682,1
130,GT4149,GT,Dutch,Wooden,1656,InsideBase,369,1,719,164,3470,924,49,12,106136,419,0,145,1,3297,54499,27,960,181,74,22000,27373,712,2,5714,1,36082,238,15551,65,44552,1,1,336,5192,1480,333,84173,1,1073,371,588,128,4775,16862,0
174,GT4149,GT,Dutch,Wooden,1656,InsideBase,426,1,55581,255,5216,1601,754,1,115843,386,0,75,1,3251,50038,0,984,259,22,32897,50219,2483,137,9278,9,36912,297,20333,451,48098,0,43,327,5326,1410,509,100279,45,1008,332,586,1,9199,15838,24
173,GT4149,GT,Dutch,Wooden,1656,OutsideBase,520,1,57455,203,5297,1742,609,1,112831,318,0,1,1,3052,49106,0,881,374,128,32607,49765,2419,46,8508,15,35787,226,19305,62,46849,1,195,339,5634,1186,453,96998,1,801,408,407,234,9007,16105,3
145,CM18A,CM,Colonial,Composite,1830,Side,580,15,0,228,867,1,436,1,162439,324,11,453,281,1539,146268,115,1033,224,533,2977,2922,316,1,2793,0,37260,157,2959,293,47211,1,48,454,5947,770,112,43278,25,2358,156,1728,1,2878,22441,32
136,BAT4620,BAT,Dutch,Wooden,1629,Side,662,1,0,135,6046,2038,225,1,116117,141,0,233,1,2903,72618,49,1011,34,343,31743,55124,474,115,1857,0,36584,247,20797,450,49298,0,130,545,5181,787,591,106445,1,1829,350,1382,1,5115,22098,86
128,GT4098,GT,Dutch,Wooden,1656,Side,619,1,600,204,2493,826,1,2,113216,688,0,147,1,3264,76229,0,1109,143,709,18259,25919,494,230,9848,309,38319,225,14496,400,49647,0,1,82,5863,1898,2,84942,1,2078,233,2016,0,5097,30937,9
118,ZT3380,ZT,Dutch,Wooden,1712,InsideBase,558,35,379,154,1611,278,127,1,98390,236,0,135,50,3540,100911,83,852,59,1,5998,14035,151,102,6381,50,36635,171,3140,287,44159,0,212,597,5132,967,210,79148,1,2862,179,1666,28,8098,22290,-4
132,GT4149,GT,Dutch,Wooden,1656,OutsideBase,531,1,1835,263,3658,1098,1,1,114656,272,0,188,11,3579,58789,0,927,314,339,24103,30268,937,103,5878,0,36648,212,16888,300,46356,1,75,257,5515,1229,36,90318,205,1257,266,1530,168,5373,18988,6
172,GT4149,GT,Dutch,Wooden,1656,Side,551,3,53224,253,3990,1557,726,1,109389,290,0,58,1,3202,48283,116,912,105,1166,29973,47787,2336,1,8609,10,34629,134,18500,2,43972,0,36,265,5704,795,1,93991,99,893,353,350,1,8964,15060,66
143,BAT4077,BAT,Dutch,Wooden,1629,Base,470,23,5447,143,5103,1751,34,168,108038,349,0,1,1,2450,47709,0,919,84,224,26675,56218,610,82,11061,42,33855,283,17891,283,42107,-1,1,96,5148,1538,368,95085,1,1149,372,1721,0,5783,18317,-15
116,ZT1350,ZT,Dutch,Wooden,1712,OutsideSide,578,1,3269,313,893,310,107,1,59810,286,0,97,8666,1714,10488,0,1314,327,1,3941,5723,4464,1,2822,0,53222,379,4081,305,54762,1,113,210,6145,1694,52,19469,88,1849,40,1445,103,925,26191,0
141,BAT4000,BAT,Dutch,Wooden,1629,InsideBase,361,1,12635,231,5696,1896,190,155,115163,523,0,1,1,2707,68793,0,999,230,1,30317,55337,868,359,3536,39,38091,249,21141,171,49189,1,252,280,5938,1124,479,99029,40,1671,426,1390,1,6182,23056,15
148,BAT4000,BAT,Dutch,Wooden,1629,InsideBase,456,8,20120,218,6059,1915,1,1,106490,166,0,143,1,2949,58588,0,972,160,56,28349,53875,715,2,4481,0,38402,379,21410,306,51576,0,632,377,5905,1157,581,100284,1,1425,480,1484,169,6759,22579,0
159,GT4055,GT,Dutch,Wooden,1656,InsideBase,547,1,31631,218,4986,1714,225,1,112833,348,0,25,3,3228,55660,82,974,265,7,32273,54309,1795,132,5793,1,39898,177,22075,394,53334,1,248,447,5719,1269,399,101575,1,1054,150,101,1,11759,14327,9
125,GT4163,GT,Dutch,Wooden,1656,InsideBase,641,1,1011,244,3002,933,16,1,113056,235,0,203,46,3490,70880,0,1028,389,952,20481,25295,879,144,5725,0,38144,380,17065,796,45183,0,69,171,4932,1671,1,79267,1,1920,270,1939,91,4020,27696,1
100,LJ61,LJ,Colonial,Wooden,1921,OutsideShoulder,490,1,5078,260,1667,619,236,1,146747,139,0,393,162,1605,164565,-1,1109,94,530,3076,9819,282,4,13157,56,38409,284,3340,314,49842,1,1,452,5859,1104,225,55459,121,2164,296,2096,1,3437,30248,-7
104,BN5440,BN,Colonial,Iron,1888,Side,494,79,2092,253,932,2,1829,55,124734,499,0,1,326,32325,182072,84,1107,262,37,3427,6880,470,1,2513,0,40759,302,3492,382,48890,1,175,314,5529,1019,391,23877,1,2504,212,1756,10,7811,23250,25
110,BEL3557,BEL,Colonial,Composite,1824,Side,568,14,519,242,897,-1,350,1,173171,173,-2,217,155,1872,105223,107,1012,343,679,3335,2329,225,1,3575,0,40827,163,3073,170,51757,0,232,720,6414,1020,193,36016,26,2217,276,1701,26,3172,28431,0
112,BEL231,BEL,Colonial,Composite,1824,Outside,613,119,813,272,2231,243,362,1,152954,18,0,313,181,1807,107734,0,1040,175,361,5475,2300,331,97,3885,12,38491,272,2608,66,47183,1,154,968,6186,1623,305,197401,240,1799,228,1826,1,2176,22296,1
163,CM93,CM,Colonial,Composite,1830,InsideBase,771,107,0,272,1715,4,347,2,148958,182,0,1204,243,1558,151902,96,1122,202,278,1544,19904,555,-8,3588,0,38661,272,1584,92,51830,93,22,558,5813,1527,274,122299,1,3236,481,1931,69,2001,22279,0
108,LJ3,LJ,Colonial,Wooden,1921,Inside,820,103,20,196,1315,180,1,1,93396,190,0,104,384,1392,160915,347,1080,221,112,9461,3944,112,66,2347,53,41933,313,8834,257,48482,0,54,241,5765,826,171,48650,1,3574,321,3421,53,3182,45720,7
57,ZW2076,ZW,Dutch,Wooden,1727,Base,444,17,367,155,2306,509,309,1,97761,171,1,318,73,1852,50848,22,670,110,263,6450,16919,140,34,1754,0,29219,162,4173,76,30965,0,64,217,3621,792,174,69602,1,1072,195,831,31,5238,17447,0
41,ZW1836B,ZW,Dutch,Wooden,1727,Side,565,1,240,234,2298,766,73,1,140738,464,-1,417,91,2716,84532,23,1029,568,672,12527,23624,458,148,5001,0,38058,162,6450,60,50679,1,51,353,6054,1852,1,85291,45,1861,265,1510,13,7009,30419,13
14,ZW1837B,ZW,Dutch,Wooden,1727,InsideBase,509,1,0,283,2764,895,654,1,114889,186,0,595,13,2140,60629,83,879,84,521,14337,23754,396,143,1910,0,36426,281,8125,1,42756,1,187,350,5553,1019,188,94870,4,1358,252,1345,120,5200,21645,1
81,ZW3000,ZW,Dutch,Wooden,1727,SideNearEdge,544,8,0,209,2806,1032,248,1,124273,218,-1,602,32,2232,73811,13,938,132,683,7652,24282,332,7,3988,12,37918,154,5439,82,44267,103,1,338,5967,865,80,84065,1,1757,278,1237,103,8285,28101,0
74,ZW3000,ZW,Dutch,Wooden,1727,InsideSide,540,1,0,148,2681,739,1,1,140276,469,0,473,104,3089,70103,0,1082,204,947,14043,22360,446,279,5226,0,38411,244,7586,281,48327,1,118,323,5550,1666,1,86415,73,1605,283,1717,1,6627,25165,1
36,ZW3000,ZW,Dutch,Wooden,1727,Side,506,1,889,222,2758,823,94,1,135919,105,0,678,76,2260,85832,0,1097,88,711,7057,24749,361,1,8802,0,39034,1,4923,280,48850,133,1,176,5795,1090,31,91173,195,2096,353,1675,1,9840,29373,33
33,ZW1885B,ZW,Dutch,Wooden,1727,InsideBase,629,1,511,234,2841,760,398,1,131063,438,0,664,62,2202,82935,63,1143,227,274,13911,36825,295,325,3409,0,39818,233,6434,217,49908,1,204,347,6062,1012,243,71862,1,1887,240,1525,1,7486,25914,1
94,ZW1837,ZW,Dutch,Wooden,1727,SideNearBottom,477,1,0,209,2694,850,583,1,144462,132,-1,553,1,2358,77337,0,960,159,182,9628,25127,274,228,2989,0,37852,149,6130,244,47978,1,3,717,5863,1479,336,107335,1,1904,318,1766,1,7125,28062,0
90,ZW1885B,ZW,Dutch,Wooden,1727,InsideBase,295,1,276,181,1041,230,851,202,138550,336,0,298,159,3456,105719,14,1045,419,762,18356,8000,391,154,17989,0,37733,153,6067,1,49078,1,90,494,6082,2373,151,110857,1,1613,118,2657,1,8239,24102,1
7,ZW1837,ZW,Dutch,Wooden,1727,Bottom,572,1,96,238,2723,614,191,1,128396,363,0,580,51,1885,64031,85,1025,0,494,10049,28085,284,170,3114,0,39928,292,4903,118,47380,1,86,321,6156,1229,238,86969,48,1758,205,1410,1,6098,32363,1
245,TR3716,TR,Trial,Wooden,1622,Outside,379,202,552,181,895,99,106,152,150513,39,0,332,236,2101,139937,0,854,100,33,5146,2610,236,0,15314,5,37151,140,3390,164,48410,1,147,696,5892,1297,392,108493,115,2270,159,2584,43,4344,26918,0
244,TR3716,TR,Trial,Wooden,1622,Outside,547,45,357,214,967,-10,164,1,155156,292,0,101,218,2225,135152,0,1017,100,525,4801,2819,282,3,15839,22,39320,281,3251,212,52504,4,1,684,6302,656,286,113109,1,2415,255,2825,0,4494,27431,5
243,TR3716,TR,Trial,Wooden,1622,Inside,506,1,332,181,517,92,85,19,136160,277,0,82,96,1558,118501,0,930,91,230,4477,2338,235,7,13267,0,33287,130,2744,297,41861,0,32,730,5623,914,419,95865,1,2095,134,2249,1,3747,24048,55
242,TR3716,TR,Trial,Wooden,1622,Outside,607,1,429,261,859,1,103,1,146394,28,0,212,231,1676,125732,144,1052,71,1007,4124,2549,280,-3,14423,1,36463,292,3061,319,46345,1,1,667,6082,947,20,106343,4,2217,226,2767,1,4024,25698,10
