id,regno,site,class,construction,year,place,Al_K12,Ar_K12,As_K12,As_L1,Ba_K12,Ba_L1,Br_K12,Br_L1,Ca_K12,Cd_K12,Cd_L1,Cl_K12,Cr_K12,Cu_K12,Fe_K12,Ga_K12,Ga_L1,In_K12,In_L1,K_K12,Mn_K12,Ni_K12,P_K12,Pb_L1,Pb_M1,Pd_K12,Pd_L1,Rb_K12,Rb_L1,Rh_K12,Rh_L1,S_K12,Sc_K12,Si_K12,Sn_K12,Sn_L1,Sr_K12,Sr_L1,Ti_K12,V_K12,Y_K12,Y_L1,Zn_K12,Zr_K12,Zr_L1
222,ZW1904,ZW,Dutch,Wooden,1727,Outside,636,53,457,247,2768,878,411,1,134902,133,0,488,94,2346,73780,0,1056,330,683,11591,23020,383,56,4954,1,39196,215,5256,657,49728,1,76,381,5146,1876,191,91817,1,1468,246,1620,1,5824,23581,1
85,ZW1904,ZW,Dutch,Wooden,1727,Outside,479,1,453,275,2622,709,294,1,131108,429,0,472,60,2080,72801,0,1021,157,461,11301,22511,363,174,4514,0,39417,212,5245,580,47828,1,5,421,5169,1806,155,88981,1,1634,130,1285,1,5402,23640,5
83,ZW1904,ZW,Dutch,Wooden,1727,Outside,643,83,34,264,2544,732,352,1,141018,92,0,629,73,2349,76228,102,1172,127,197,12433,23824,469,156,5628,1,40469,197,5400,172,51125,1,79,410,5834,1966,378,94136,113,1589,376,1364,1,5693,24314,2
25,ZW2026,ZW,Dutch,Wooden,1727,Side,503,1,0,247,1756,420,403,1,136288,192,0,873,73,1635,93218,0,1056,263,324,4203,13876,157,76,2193,0,40968,314,2583,400,50558,1,70,381,5952,1544,262,87219,1,2407,255,1734,39,6465,29389,66
24,ZW2026,ZW,Dutch,Wooden,1727,InsideBase,603,1,1,292,1960,385,370,1,141644,534,0,1006,204,1545,96900,0,1173,311,944,4008,14831,136,1,2427,1,42242,209,2982,178,53300,1,1,337,6471,2472,2,91132,1,2208,150,1218,185,6598,29817,-1
23,ZW2026,ZW,Dutch,Wooden,1727,Cross,397,150,0,145,1446,4,238,1,93934,96,0,621,52,1451,65292,36,630,0,27,3099,9455,40,135,1585,17,26085,68,1878,203,34557,1,19,152,4271,1062,203,58107,1,1901,164,868,1,4535,19048,1
221,ZW2125,ZW,Dutch,Wooden,1727,InsideBase,629,17,511,307,2655,656,695,1,144161,288,0,560,1,2179,82703,34,1085,79,9,9511,26063,266,70,2567,1,41590,285,5589,238,52205,1,1,389,6260,648,506,104163,1,1866,143,941,1,7869,28350,121
220,ZW2125,ZW,Dutch,Wooden,1727,Outside,587,5,51,172,2838,729,477,1,132183,381,0,776,16,2053,75996,46,995,227,134,8358,24189,281,44,2683,1,38415,209,5412,413,47529,1,1,423,5364,1019,199,96568,82,1763,252,1353,2,6951,27471,68
12,ZW2125,ZW,Dutch,Wooden,1727,InsideBase,362,51,149,209,2580,912,517,7,145384,162,0,593,91,2153,83662,128,1009,112,380,8998,26337,345,41,2821,1,40693,260,5694,296,51712,1,1,608,5990,1438,297,105404,1,1717,268,1251,114,7747,29351,1
219,ZW2025,ZW,Dutch,Wooden,1727,Outside,615,41,214,177,2194,934,1085,1,159573,196,0,710,1,2049,97516,0,1066,168,143,10311,32559,409,168,2686,1,36910,167,5521,1,49901,0,65,589,6352,1599,582,125573,31,2350,262,1664,1,6302,31452,7
55,ZW2025,ZW,Dutch,Wooden,1727,Inside,468,1,0,244,2065,714,1068,1,137078,260,41,578,57,1872,84989,0,999,276,653,8155,27485,389,171,2515,0,34438,95,4487,243,42286,1,1,463,5027,1447,14,108687,45,2158,192,1317,1,5778,28129,1
54,ZW2025,ZW,Dutch,Wooden,1727,Outside,661,1,0,288,2064,684,1062,1,146585,289,-3,682,1,2001,90101,171,996,30,407,9196,29817,330,161,2749,0,36736,133,5091,94,45861,1,11,610,5762,1296,77,116288,1,2325,304,1081,114,5848,29731,3
31,ZW1836,ZW,Dutch,Wooden,1727,InsideBase,542,1,899,174,828,23,1210,2,140794,115,2,112,128,3352,106309,0,1035,115,1367,15891,8114,335,110,18256,1,35261,59,5531,227,43161,-1,281,819,5771,2365,1,104192,118,1778,227,2482,55,8047,23057,33
30,ZW1836,ZW,Dutch,Wooden,1727,Side,579,1,874,222,1009,0,985,1,138989,57,-1,240,173,3519,105736,0,1107,120,458,16994,7825,318,1,18933,0,37160,142,5501,289,48707,0,228,890,5748,2058,239,108612,15,2071,240,2527,161,8459,23311,3
29,ZW1836,ZW,Dutch,Wooden,1727,Cross,413,1,250,178,1060,103,1219,104,137993,25,0,260,229,3436,105783,0,1061,104,937,16280,7644,432,193,18869,0,36862,104,5741,208,47342,0,166,418,5937,2605,70,105977,1,1775,223,2147,1,8081,22797,71
40,ZW1836B,ZW,Dutch,Wooden,1727,Cross,257,106,-1,192,2118,624,71,156,118379,237,0,429,28,2318,70228,74,765,177,610,10456,19922,232,1,4492,1,33892,322,5369,45,42605,0,73,413,5119,1002,236,72191,1,1752,269,1612,65,6000,25608,-18
39,ZW1836B,ZW,Dutch,Wooden,1727,InsideBase,420,1,78,183,2554,783,67,1,140032,221,-1,485,1,2490,82760,27,1009,101,1109,12200,23179,311,198,4748,-7,36229,118,6199,261,43976,0,54,271,5696,1049,1,80851,73,2014,127,1690,9,7027,28972,30
218,ZW1885B,ZW,Dutch,Wooden,1727,InsideBase,480,6,731,234,1033,67,883,1,141693,324,0,230,118,3386,108583,0,985,66,1233,18299,8375,317,97,17774,0,36246,237,6038,258,48346,0,162,704,6142,2243,9,112477,43,1842,269,2594,1,8162,23824,92
89,ZW1885B,ZW,Dutch,Wooden,1727,Cross,595,42,532,158,1035,0,620,1,109721,293,0,65,124,2902,84699,0,946,159,801,14442,6434,292,180,14207,0,32277,91,4790,248,38545,-1,187,204,4659,1867,162,86763,1,1469,79,1719,1,6260,19038,1
217,ZW1904,ZW,Dutch,Wooden,1727,Outside,188,0,250,232,3626,844,1,269,121280,153,0,604,48,3096,105321,0,975,399,1017,12476,23231,327,156,7480,0,40098,71,8482,96,50359,1,101,234,5966,2783,46,91531,1,2580,267,1882,83,5603,34596,1
216,ZW1904,ZW,Dutch,Wooden,1727,Outside,546,1,522,232,2856,898,81,1,124599,109,0,624,1,3148,109817,146,978,313,870,13145,24058,442,110,7195,-8,39006,302,8657,209,50717,4,22,340,6005,2351,19,93386,1,2394,297,1885,1,5641,35433,176
77,ZW1904,ZW,Dutch,Wooden,1727,Side,465,1,5,234,2208,918,1,16,116654,153,2,459,1,3074,101336,136,969,193,782,12320,22442,389,141,7591,1,36345,69,7588,304,47037,3,1,1,5577,1523,1,87956,1,2161,190,2138,1,5350,33627,1
73,ZW2026,ZW,Dutch,Wooden,1727,Cross,614,1,0,191,2485,773,770,1,127546,114,-1,501,93,2955,84578,88,1030,211,685,14136,22380,429,218,5114,24,36262,127,8337,266,47597,1,1,365,5393,1193,1,107054,204,1883,148,1960,40,6291,25541,1
72,ZW2026,ZW,Dutch,Wooden,1727,Base,511,1,99,230,2960,767,885,1,132825,501,0,625,29,3026,87678,0,1033,229,79,15383,22781,346,297,5258,0,37757,244,8520,1,47388,0,48,557,5797,1389,424,109697,1,1883,218,1019,1,6528,25691,1
71,ZW2026,ZW,Dutch,Wooden,1727,InsideBase,472,-2,53,270,3309,800,1039,33,136967,299,-1,529,50,3304,90142,20,1099,245,266,15303,23606,358,16,5157,1,38852,175,8934,393,49890,0,51,307,5399,1694,332,113968,152,1903,371,1904,1,6954,26787,83
215,ZW1189,ZW,Dutch,Wooden,1727,Side,674,1,580,303,973,70,1912,1,110599,483,0,298,1,1373,170435,61,1121,316,581,10263,6472,148,20,2798,0,40844,294,4247,1,49716,1,71,323,4543,2032,14,168738,13,1993,159,2108,52,2886,21663,-8
66,ZW1189,ZW,Dutch,Wooden,1727,Inside,500,140,768,238,524,126,1593,167,106135,638,0,114,194,1529,157715,0,1121,282,18,10531,6078,156,54,2365,2,35857,210,4051,384,41489,0,81,548,5327,1328,220,150881,75,1951,143,1883,1,2840,19215,14
65,ZW1189,ZW,Dutch,Wooden,1727,Side,634,1,1010,201,1144,177,1941,1,113136,348,-1,243,201,1476,171911,0,1035,210,7,10598,6470,223,81,2484,1,39521,265,4196,332,49546,0,77,506,5055,1300,86,167795,165,1796,68,2125,97,2885,20759,1
214,ZW1233,ZW,Dutch,Wooden,1727,External,630,3,991,356,2109,300,16,1,74807,150,0,53,144,1871,133525,173,1146,115,484,5446,90822,514,0,2093,0,45744,429,5782,90,52372,0,100,164,5240,892,8,16956,1,3435,219,2766,1,928,56831,0
213,ZW1885B,ZW,Dutch,Wooden,1727,InsideBase,540,1,4,205,2611,535,171,1,128316,95,0,245,47,2188,81636,11,983,132,1172,12692,36039,368,119,3719,0,39502,27,6239,399,48944,156,67,78,5559,1381,1,71331,1,2111,289,1054,1,7147,25498,-13
32,ZW1885B,ZW,Dutch,Wooden,1727,Side,415,2,38,195,2861,797,195,1,129932,297,-1,300,32,2207,84610,64,1084,144,1009,13056,36682,399,3,3756,0,39678,64,6521,364,49491,240,1,320,5711,1558,3,71953,1,1980,240,1435,211,7576,25908,0
18,ZW1233,ZW,Dutch,Wooden,1727,Exterior,507,1,1010,260,1212,344,143,1,79846,293,-4,1,142,1820,143475,86,1147,161,346,6083,97422,541,102,2167,0,44284,168,5888,481,49806,1,138,1,5324,1464,1,17270,1,3671,228,3063,1,1062,58031,1
17,ZW1233,ZW,Dutch,Wooden,1727,Exterior,695,1,907,235,1638,260,46,1,84866,289,0,138,132,1862,144683,0,1178,121,228,6267,94393,469,170,2676,0,47238,355,6325,359,53238,0,233,1,5594,859,49,18272,1,3515,158,3171,46,1056,59298,1
197,RP3113,RP,Colonial,Wooden,1811,Rim2,502,1,193,187,884,2,273,1,136732,85,-1,449,136,3160,138156,0,906,112,840,4417,7528,179,1,7207,0,32620,121,2245,1,41007,32,111,472,5205,741,1,84926,286,1778,295,1363,3,2349,23317,1
